tender_no.,tender_description,agency,award_date,tender_detail_status,supplier_name,Price,Years experience ,no of s project done
ACR000ETT14000007,Provision Of Event Management And Related Services For The Public Accountants Conference 2015. (There is a compulsory briefing on 13 Nov 14 at 10am at ACRA Boardroom. Only representatives who attended this compulsory briefing are eligible to participate in this tender).,Accounting And Corporate Regulatory Authority,06-02-2015,Awarded to No Suppliers,Unknown,0,1,2
ACR000ETT14000008,Invitation To Tender For The Provision Of Alternate Business Continuity Plan (BCP) Site For ACRA,Accounting And Corporate Regulatory Authority,30-04-2015,Awarded to No Suppliers,Unknown,0,1,2
ACR000ETT14000009,Invitation To Tender For The Provision Of Manpower Services (Facilities Officer) For ACRA,Accounting And Corporate Regulatory Authority,28-01-2015,Awarded to Suppliers,RMA CONTRACTS PTE. LTD.,76071.21,1,2
ACR000ETT15000004,Invitation To Tender For The Provision Of Manpower For Software Testing Services For ACRA,Accounting And Corporate Regulatory Authority,01-07-2015,Awarded to Suppliers,TESCOM (SINGAPORE) SOFTWARE SYSTEMS TESTING PTE LTD.,84000,1,2
ACR000ETT15000005,"Proposed Interior Fitting Out Works for ACRA's Office Space at 10 Anson Road, #05-19 & #05-01/15 (Part) International Plaza, Singapore 079903",Accounting And Corporate Regulatory Authority,24-04-2015,Awarded to Suppliers,MKS GLOBAL PTE. LTD.,653255,1,2
ACR000ETT15000006,Provision Of Smart Card Access Control System With Intrusion Detection System And Central Alarm Monitoring With Response Team For ACRA,Accounting And Corporate Regulatory Authority,26-06-2015,Awarded to Suppliers,CERTIS TECHNOLOGY (SINGAPORE) PTE. LTD.,87690,1,2
ACR000ETT15000009,Invitation to tender for the provision of services for Registered Filing Agents (RFAs) Compliance Review Programme,Accounting And Corporate Regulatory Authority,14-08-2015,Awarded to Suppliers,RHT COMPLIANCE SOLUTIONS PTE. LTD.,392000,1,2
ACR000ETT15000010,Invitation To Tender For The Provision Of Cleaning Services For Accounting And Corporate Regulatory Authority For A Period Of 2 Years With An Option To Renew For 1 Year.,Accounting And Corporate Regulatory Authority,30-07-2015,Awarded to Suppliers,CLEANMAGE PTE. LTD.,122400,1,2
ACR000ETT15000011,Invitation to Tender for the provision of consultancy services to review ACRA's business processes and service delivery.,Accounting And Corporate Regulatory Authority,23-11-2015,Awarded to Suppliers,SOLUTIONSATWORK PTE. LTD.,320000,1,2
ACR000ETT15000013,Invitation to Tender (ITT) for the Provision of Consultancy Services to Assess the Feasibility of a Re-Domiciliation Regime in Singapore,Accounting And Corporate Regulatory Authority,19-02-2016,Awarded to Suppliers,RHTLAW TAYLOR WESSING LLP,250000,1,2
ACR000ETT16000001,INVITATION TO TENDER FOR THE PROVISION OF SERVICES FOR REGISTERED FILING AGENTS (RFAs) COMPLIANCE REVIEW PROGRAMME,Accounting And Corporate Regulatory Authority,01-06-2016,Awarded to Suppliers,DELOITTE & TOUCHE ENTERPRISE RISK SERVICES PTE LTD,170000,1,2
ACR000ETT16000001,INVITATION TO TENDER FOR THE PROVISION OF SERVICES FOR REGISTERED FILING AGENTS (RFAs) COMPLIANCE REVIEW PROGRAMME,Accounting And Corporate Regulatory Authority,01-06-2016,Awarded to Suppliers,PricewaterhouseCoopers Management Services Pte Ltd,199000,1,2
ACR000ETT16000002,"INVITATION TO TENDER FOR SUPPLY, DESIGN, PRINTING, BULK MAILING & DELIVERY SERVICES FOR PRESSURE SEAL FORMS",Accounting And Corporate Regulatory Authority,14-09-2016,Awarded to Suppliers,JK TRUDATA SOLUTIONS PTE. LTD.,5967,1,2
ACR000ETT16000003,INVITATION TO TENDER FOR THE PROVISION OF REVIEW SERVICES ON EXTENSIBLE BUSINESS REPORTING LANGUAGE (XBRL) FINANCIAL STATEMENTS TO THE ACCOUNTING AND CORPORATE REGULATORY AUTHORITY,Accounting And Corporate Regulatory Authority,14-12-2016,Awarded to Suppliers,BDO CONSULTANTS PTE. LTD.,86400,1,2
AGC000ETT14000010,"Invitation To Tender for The Design, Develop, Install, Implement, Commission and Maintenance of the Enterprise Single Sign-On System",Attorney-General's Chambers,04-05-2015,Awarded to Suppliers,Ufinity Pte Ltd,300174,1,2
